time [s],Lmtc [m],STIM [ ],Fsee [N]
0.0,0.047,0.0,1.2625868763808634
0.0005,0.047,0.0,1.2625864196755308
0.001,0.047,0.0,1.2625859852399075
0.0015,0.047,0.0,1.2625855719855255
0.002,0.047,0.0,1.262585178880727
0.0025,0.047,0.0,1.2625848049408286
0.003,0.047,0.0,1.2625844492324805
0.0035,0.047,0.0,1.2625841108648355
0.004,0.047,0.0,1.262583788993494
0.0045000000000000005,0.047,0.0,1.2625834828124785
0.005,0.047,0.0,1.262583191557833
0.0055,0.047,0.0,1.262582914500345
0.006,0.047,0.0,1.2625826509488445
0.006500000000000001,0.047,0.0,1.2625824002435613
0.007,0.047,0.0,1.2625821617591355
0.0075,0.047,0.0,1.2625819348986447
0.008,0.047,0.0,1.2625817190962665
0.0085,0.047,0.0,1.2625815138118897
0.009000000000000001,0.047,0.0,1.262581318533585
0.0095,0.047,0.0,1.2625811327726524
0.01,0.047,0.0,1.2625809560658907
0.0105,0.047,0.0,1.2625807879711373
0.011,0.047,0.0,1.2625806280692575
0.0115,0.047,0.0,1.2625804759601662
0.012,0.047,0.0,1.2625803312646253
0.0125,0.047,0.0,1.2625801936206242
0.013000000000000001,0.047,0.0,1.2625800626850325
0.0135,0.047,0.0,1.26257993813027
0.014,0.047,0.0,1.2625798196458375
0.0145,0.047,0.0,1.2625797069353544
0.015,0.047,0.0,1.2625795997178666
0.0155,0.047,0.0,1.2625794977251639
0.016,0.047,0.0,1.2625794007030433
0.0165,0.047,0.0,1.2625793084088153
0.017,0.047,0.0,1.2625792206124227
0.0175,0.047,0.0,1.2625791370943056
0.018000000000000002,0.047,0.0,1.2625790576462719
0.0185,0.047,0.0,1.262578982069654
0.019,0.047,0.0,1.2625789101760692
0.0195,0.047,0.0,1.26257884178572
0.02,0.047,0.0,1.2625787767281755
0.0205,0.047,0.0,1.262578714840731
0.021,0.047,0.0,1.2625786559691543
0.021500000000000002,0.047,0.0,1.262578599966222
0.022,0.047,0.0,1.2625785466923687
0.0225,0.047,0.0,1.2625784960143784
0.023,0.047,0.0,1.262578447805954
0.0235,0.047,0.0,1.2625784019465562
0.024,0.047,0.0,1.2625783583218948
0.0245,0.047,0.0,1.262578316822888
0.025,0.047,0.0,1.2625782773461216
0.025500000000000002,0.047,0.0,1.2625782397928889
0.026000000000000002,0.047,0.0,1.2625782040696125
0.0265,0.047,0.0,1.2625781700869647
0.027,0.047,0.0,1.2625781377602774
0.0275,0.047,0.0,1.262578107008707
0.028,0.047,0.0,1.262578077755635
0.0285,0.047,0.0,1.262578049927908
0.029,0.047,0.0,1.2625780234561963
0.029500000000000002,0.047,0.0,1.2625779982743222
0.03,0.047,0.0,1.2625779743195173
0.0305,0.047,0.0,1.2625779515319089
0.031,0.047,0.0,1.2625779298546982
0.0315,0.047,0.0,1.2625779092337022
0.032,0.047,0.0,1.2625778896175215
0.0325,0.047,0.0,1.262577870957127
0.033,0.047,0.0,1.2625778532060146
0.0335,0.047,0.0,1.2625778363198168
0.034,0.047,0.0,1.262577820256446
0.0345,0.047,0.0,1.2625778049757483
0.035,0.047,0.0,1.2625777904396382
0.035500000000000004,0.047,0.0,1.2625777766117847
0.036000000000000004,0.047,0.0,1.2625777634577469
0.0365,0.047,0.0,1.2625777509446143
0.037,0.047,0.0,1.26257773904121
0.0375,0.047,0.0,1.2625777277177876
0.038,0.047,0.0,1.2625777169461323
0.0385,0.047,0.0,1.2625777066993031
0.039,0.047,0.0,1.2625776969517795
0.0395,0.047,0.0,1.2625776876791808
0.04,0.047,0.0,1.2625776788584229
0.0405,0.047,0.0,1.2625776704674396
0.041,0.047,0.0,1.2625776624853264
0.0415,0.047,0.0,1.2625776548921295
0.042,0.047,0.0,1.2625776476689348
0.0425,0.047,0.0,1.262577640797666
0.043000000000000003,0.047,0.0,1.2625776342612203
0.043500000000000004,0.047,0.0,1.2625776280432432
0.044,0.047,0.0,1.262577622128252
0.0445,0.047,0.0,1.2625776165014686
0.045,0.047,0.0,1.2625776111488531
0.0455,0.047,0.0,1.2625776060570353
0.046,0.047,0.0,1.2625776012133385
0.0465,0.047,0.0,1.2625775966056343
0.047,0.047,0.0,1.262577592222442
0.0475,0.047,0.0,1.2625775880528178
0.048,0.047,0.0,1.2625775840863656
0.0485,0.047,0.0,1.2625775803131696
0.049,0.047,0.0,1.2625775767238403
0.0495,0.047,0.0,1.2625775733093785
0.05,0.047,0.0,1.2625775700613109
0.0505,0.047,0.0,1.262577566971488
0.051000000000000004,0.047,0.0,1.2625775640322194
0.051500000000000004,0.047,0.0,1.2625775612361603
0.052000000000000005,0.047,0.0,1.2625775585763466
0.0525,0.047,0.0,1.262577556046138
0.053,0.047,0.0,1.2625775536392077
0.0535,0.047,0.0,1.2625775513495525
0.054,0.047,0.0,1.2625775491714601
0.0545,0.047,0.0,1.2625775470994982
0.055,0.047,0.0,1.2625775451284902
0.0555,0.047,0.0,1.2625775432535182
0.056,0.047,0.0,1.2625775414699092
0.0565,0.047,0.0,1.2625775397732029
0.057,0.047,0.0,1.262577538159174
0.0575,0.047,0.0,1.2625775366237757
0.058,0.047,0.0,1.2625775351632071
0.0585,0.047,0.0,1.2625775337737908
0.059000000000000004,0.047,0.0,1.2625775324520834
0.059500000000000004,0.047,0.0,1.2625775311947764
0.06,0.047,0.0,1.2625775299987172
0.0605,0.047,0.0,1.262577528860943
0.061,0.047,0.0,1.2625775277786042
0.0615,0.047,0.0,1.262577526749006
0.062,0.047,0.0,1.262577525769578
0.0625,0.047,0.0,1.2625775248378712
0.063,0.047,0.0,1.2625775239515609
0.0635,0.047,0.0,1.262577523108434
0.064,0.047,0.0,1.2625775223063882
0.0645,0.047,0.0,1.2625775215434232
0.065,0.047,0.0,1.2625775208176273
0.0655,0.047,0.0,1.2625775201272118
0.066,0.047,0.0,1.2625775194704214
0.0665,0.047,0.0,1.2625775188456356
0.067,0.047,0.0,1.2625775182512895
0.0675,0.047,0.0,1.2625775176859182
0.068,0.047,0.0,1.2625775171480802
0.0685,0.047,0.0,1.2625775166364446
0.069,0.047,0.0,1.2625775161497486
0.0695,0.047,0.0,1.2625775156867627
0.07,0.047,0.0,1.262577515246335
